2017-05-04 23:56:45 26.8℃ 43.4％ 1019.83hPa
2017-05-05 00:32:48 29.1℃ 34.6％ 1019.50hPa
2017-05-05 00:33:11 29.1℃ 34.6％ 1019.56hPa
2017-05-05 00:33:33 29.1℃ 34.6％ 1019.51hPa
2017-05-05 00:33:55 29.0℃ 34.5％ 1019.45hPa
2017-05-05 00:34:17 29.1℃ 34.4％ 1019.46hPa
2017-05-05 00:34:40 29.1℃ 34.4％ 1019.56hPa
2017-05-05 00:35:02 29.1℃ 34.4％ 1019.50hPa
2017-05-05 00:35:24 29.1℃ 34.4％ 1019.52hPa
2017-05-05 00:35:49 29.0℃ 34.4％ 1019.51hPa
2017-05-05 00:36:12 29.0℃ 34.4％ 1019.47hPa
2017-05-05 00:36:34 29.1℃ 34.4％ 1019.48hPa
2017-05-05 00:36:56 29.0℃ 34.4％ 1019.52hPa
2017-05-05 00:37:18 29.0℃ 34.3％ 1019.50hPa
2017-05-05 00:37:41 29.0℃ 34.3％ 1019.45hPa
2017-05-05 00:38:03 29.0℃ 34.2％ 1019.48hPa
2017-05-05 00:38:25 29.0℃ 34.2％ 1019.49hPa
2017-05-05 00:38:48 29.0℃ 34.2％ 1019.45hPa
2017-05-05 00:39:10 29.0℃ 34.1％ 1019.39hPa
2017-05-05 00:39:32 29.1℃ 34.1％ 1019.48hPa
2017-05-05 00:39:55 29.0℃ 34.0％ 1019.49hPa
2017-05-05 00:40:22 29.1℃ 33.9％ 1019.46hPa
2017-05-05 00:40:44 29.1℃ 33.8％ 1019.45hPa
2017-05-05 00:41:09 29.1℃ 33.6％ 1019.51hPa
2017-05-05 00:41:31 29.1℃ 33.6％ 1019.53hPa
2017-05-05 00:41:54 29.1℃ 33.5％ 1019.46hPa
2017-05-05 00:42:16 28.9℃ 33.4％ 1019.47hPa
2017-05-05 00:42:38 29.1℃ 33.3％ 1019.48hPa
2017-05-05 00:43:01 29.0℃ 33.3％ 1019.52hPa
2017-05-05 00:43:23 29.1℃ 33.3％ 1019.49hPa
2017-05-05 00:43:45 29.0℃ 33.3％ 1019.53hPa
2017-05-05 00:44:07 29.0℃ 33.2％ 1019.53hPa
2017-05-05 00:44:30 28.9℃ 33.2％ 1019.54hPa
2017-05-05 00:44:52 29.0℃ 33.1％ 1019.48hPa
2017-05-05 00:45:14 29.0℃ 33.2％ 1019.47hPa
2017-05-05 00:45:37 29.0℃ 33.2％ 1019.53hPa
2017-05-05 00:45:59 29.0℃ 33.2％ 1019.51hPa
2017-05-05 00:46:21 29.0℃ 33.1％ 1019.54hPa
2017-05-05 00:46:44 29.0℃ 33.1％ 1019.49hPa
2017-05-05 00:47:06 29.1℃ 33.1％ 1019.43hPa
2017-05-05 00:47:31 29.0℃ 33.2％ 1019.50hPa
2017-05-05 00:47:53 29.1℃ 33.2％ 1019.55hPa
2017-05-05 00:48:15 29.1℃ 33.2％ 1019.45hPa
2017-05-05 00:48:38 29.1℃ 33.2％ 1019.52hPa
2017-05-05 00:49:00 29.1℃ 33.1％ 1019.46hPa
2017-05-05 00:49:22 29.0℃ 33.1％ 1019.49hPa
2017-05-05 00:49:45 29.0℃ 33.0％ 1019.47hPa
2017-05-05 00:50:07 29.0℃ 33.0％ 1019.46hPa
2017-05-05 00:50:29 29.0℃ 33.0％ 1019.40hPa
2017-05-05 00:50:52 29.0℃ 33.0％ 1019.44hPa
2017-05-05 00:51:16 29.0℃ 33.0％ 1019.51hPa
2017-05-05 00:51:39 29.0℃ 33.1％ 1019.41hPa
2017-05-05 00:52:01 29.0℃ 33.1％ 1019.44hPa
2017-05-05 00:52:23 29.0℃ 33.1％ 1019.38hPa
2017-05-05 00:52:45 29.1℃ 33.1％ 1019.39hPa
2017-05-05 00:53:08 28.9℃ 33.1％ 1019.37hPa
2017-05-05 00:53:30 29.0℃ 33.1％ 1019.39hPa
2017-05-05 00:53:52 29.0℃ 33.0％ 1019.38hPa
2017-05-05 00:54:14 28.9℃ 33.0％ 1019.40hPa
2017-05-05 00:54:37 29.0℃ 33.0％ 1019.40hPa
2017-05-05 00:54:59 29.0℃ 33.0％ 1019.41hPa
2017-05-05 00:55:21 29.0℃ 33.1％ 1019.42hPa
2017-05-05 00:55:44 28.9℃ 33.1％ 1019.30hPa
2017-05-05 00:56:06 28.9℃ 33.0％ 1019.38hPa
2017-05-05 00:56:28 29.1℃ 33.0％ 1019.36hPa
2017-05-05 00:56:51 29.0℃ 33.0％ 1019.24hPa
2017-05-05 00:57:13 29.1℃ 33.1％ 1019.36hPa
2017-05-05 00:57:35 29.0℃ 33.1％ 1019.34hPa
2017-05-05 00:57:57 29.1℃ 33.1％ 1019.34hPa
2017-05-05 00:58:20 29.0℃ 33.1％ 1019.31hPa
2017-05-05 00:58:45 29.0℃ 33.0％ 1019.30hPa
2017-05-05 00:59:07 29.0℃ 33.0％ 1019.29hPa
2017-05-05 00:59:29 29.1℃ 33.0％ 1019.37hPa
2017-05-05 00:59:52 29.0℃ 33.1％ 1019.31hPa
2017-05-05 01:00:16 29.1℃ 33.1％ 1019.35hPa
2017-05-05 01:00:39 29.1℃ 33.1％ 1019.31hPa
2017-05-05 01:01:01 29.1℃ 33.2％ 1019.31hPa
2017-05-05 01:01:23 29.0℃ 33.2％ 1019.35hPa
2017-05-05 01:01:45 29.0℃ 33.2％ 1019.31hPa
2017-05-05 01:02:08 29.1℃ 33.2％ 1019.33hPa
2017-05-05 01:02:30 29.0℃ 33.2％ 1019.29hPa
2017-05-05 01:02:52 29.1℃ 33.2％ 1019.33hPa
2017-05-05 01:03:15 29.1℃ 33.2％ 1019.32hPa
2017-05-05 01:03:37 29.1℃ 33.2％ 1019.27hPa
2017-05-05 01:03:59 29.1℃ 33.2％ 1019.35hPa
2017-05-05 01:04:22 29.1℃ 33.2％ 1019.34hPa
2017-05-05 01:04:44 29.1℃ 33.2％ 1019.28hPa
2017-05-05 01:05:06 29.1℃ 33.2％ 1019.28hPa
2017-05-05 01:05:36 29.1℃ 33.3％ 1019.29hPa
2017-05-05 01:06:01 29.1℃ 33.2％ 1019.31hPa
2017-05-05 01:06:23 29.1℃ 33.2％ 1019.26hPa
2017-05-05 01:06:48 29.1℃ 33.1％ 1019.30hPa
2017-05-05 01:07:10 29.2℃ 33.1％ 1019.31hPa
2017-05-05 01:07:33 29.3℃ 33.2％ 1019.27hPa
2017-05-05 01:07:55 29.2℃ 33.2％ 1019.29hPa
2017-05-05 01:08:17 29.3℃ 33.2％ 1019.37hPa
2017-05-05 01:08:39 29.3℃ 33.2％ 1019.31hPa
2017-05-05 01:09:02 29.3℃ 33.2％ 1019.32hPa
2017-05-05 01:09:24 29.3℃ 33.2％ 1019.23hPa
2017-05-05 01:09:46 29.3℃ 33.2％ 1019.29hPa
2017-05-05 01:10:09 29.3℃ 33.2％ 1019.30hPa
2017-05-05 01:10:31 29.4℃ 33.2％ 1019.30hPa
2017-05-05 01:10:53 29.5℃ 33.3％ 1019.26hPa
2017-05-05 01:11:16 29.4℃ 33.2％ 1019.31hPa
2017-05-05 01:11:38 29.4℃ 33.3％ 1019.24hPa
2017-05-05 01:12:00 29.5℃ 33.3％ 1019.24hPa
2017-05-05 01:12:23 29.5℃ 33.4％ 1019.24hPa
2017-05-05 01:12:45 29.5℃ 33.5％ 1019.28hPa
2017-05-05 01:13:07 29.4℃ 33.5％ 1019.27hPa
2017-05-05 01:13:29 29.5℃ 33.5％ 1019.23hPa
2017-05-05 01:13:54 29.4℃ 33.4％ 1019.22hPa
2017-05-05 01:14:17 29.5℃ 33.4％ 1019.29hPa
2017-05-05 01:14:39 29.4℃ 33.4％ 1019.29hPa
2017-05-05 01:15:01 29.5℃ 33.3％ 1019.22hPa
2017-05-05 01:15:23 29.5℃ 33.3％ 1019.28hPa
2017-05-05 01:15:48 29.5℃ 33.2％ 1019.26hPa
2017-05-05 01:16:10 29.4℃ 33.2％ 1019.29hPa
2017-05-05 01:16:33 29.5℃ 33.2％ 1019.25hPa
2017-05-05 01:16:55 29.6℃ 33.2％ 1019.28hPa
2017-05-05 01:17:17 29.5℃ 33.3％ 1019.26hPa
2017-05-05 01:17:39 29.6℃ 33.4％ 1019.34hPa
2017-05-05 01:18:02 29.6℃ 33.4％ 1019.19hPa
2017-05-05 01:18:24 29.7℃ 33.4％ 1019.25hPa
2017-05-05 01:18:46 29.6℃ 33.4％ 1019.27hPa
2017-05-05 01:19:11 29.7℃ 33.5％ 1019.28hPa
2017-05-05 01:19:34 29.6℃ 33.5％ 1019.24hPa
2017-05-05 01:19:56 29.6℃ 33.5％ 1019.26hPa
2017-05-05 01:20:18 29.7℃ 33.5％ 1019.16hPa
2017-05-05 01:20:40 29.5℃ 33.5％ 1019.23hPa
2017-05-05 01:21:03 29.4℃ 33.6％ 1019.27hPa
2017-05-05 01:21:25 29.5℃ 33.5％ 1019.20hPa
2017-05-05 01:21:47 29.5℃ 33.5％ 1019.26hPa
2017-05-05 01:22:09 29.5℃ 33.5％ 1019.34hPa
2017-05-05 01:22:32 29.5℃ 33.5％ 1019.33hPa
2017-05-05 01:22:54 29.5℃ 33.5％ 1019.31hPa
2017-05-05 01:23:19 29.5℃ 33.6％ 1019.23hPa
2017-05-05 01:23:41 29.5℃ 33.6％ 1019.37hPa
2017-05-05 01:24:04 29.5℃ 33.5％ 1019.27hPa
2017-05-05 01:24:26 29.5℃ 33.5％ 1019.31hPa
2017-05-05 01:24:48 29.5℃ 33.6％ 1019.33hPa
2017-05-05 01:25:10 29.5℃ 33.6％ 1019.33hPa
2017-05-05 01:25:33 29.5℃ 33.6％ 1019.32hPa
2017-05-05 01:25:55 29.5℃ 33.6％ 1019.29hPa
2017-05-05 01:26:20 29.5℃ 33.6％ 1019.27hPa
2017-05-05 01:26:42 29.5℃ 33.5％ 1019.23hPa
2017-05-05 01:27:07 29.5℃ 33.5％ 1019.23hPa
2017-05-05 01:27:29 29.5℃ 33.5％ 1019.25hPa
2017-05-05 01:27:52 29.6℃ 33.5％ 1019.21hPa
2017-05-05 01:28:14 29.5℃ 33.6％ 1019.17hPa
2017-05-05 01:28:36 29.5℃ 33.6％ 1019.26hPa
2017-05-05 01:28:59 29.5℃ 33.7％ 1019.21hPa
2017-05-05 01:29:21 29.5℃ 33.6％ 1019.19hPa
2017-05-05 01:29:43 29.6℃ 33.5％ 1019.17hPa
2017-05-05 01:30:06 29.5℃ 33.5％ 1019.18hPa
2017-05-05 01:30:28 29.5℃ 33.5％ 1019.19hPa
2017-05-05 01:30:50 29.7℃ 33.5％ 1019.16hPa
2017-05-05 01:31:15 29.6℃ 33.7％ 1019.10hPa
2017-05-05 01:31:37 29.6℃ 33.6％ 1019.10hPa
2017-05-05 01:32:00 29.6℃ 33.6％ 1019.13hPa
2017-05-05 01:32:24 29.6℃ 33.6％ 1019.08hPa
2017-05-05 01:32:47 29.6℃ 33.6％ 1019.00hPa
2017-05-05 01:33:09 29.7℃ 33.6％ 1019.05hPa
2017-05-05 01:33:31 29.7℃ 33.7％ 1019.04hPa
2017-05-05 01:33:54 29.7℃ 33.7％ 1019.08hPa
2017-05-05 01:34:16 29.7℃ 33.7％ 1019.11hPa
2017-05-05 01:34:38 29.7℃ 33.7％ 1019.09hPa
2017-05-05 01:35:01 29.7℃ 33.7％ 1019.12hPa
2017-05-05 01:35:23 29.7℃ 33.7％ 1019.10hPa
2017-05-05 01:35:45 29.6℃ 33.7％ 1019.06hPa
2017-05-05 01:36:07 29.7℃ 33.7％ 1019.06hPa
2017-05-05 01:36:30 29.7℃ 33.7％ 1019.03hPa
2017-05-05 01:36:52 29.6℃ 33.8％ 1019.01hPa
2017-05-05 01:37:14 29.6℃ 33.7％ 1019.01hPa
2017-05-05 01:37:37 29.6℃ 33.7％ 1018.99hPa
2017-05-05 01:37:59 29.7℃ 33.7％ 1019.02hPa
2017-05-05 01:38:21 29.7℃ 33.7％ 1019.02hPa
2017-05-05 01:38:44 29.7℃ 33.7％ 1018.98hPa
2017-05-05 01:39:06 29.6℃ 33.7％ 1018.99hPa
2017-05-05 01:39:28 29.7℃ 33.7％ 1019.03hPa
2017-05-05 01:39:51 29.7℃ 33.8％ 1018.99hPa
2017-05-05 01:40:13 29.7℃ 33.8％ 1019.02hPa
2017-05-05 01:40:35 29.7℃ 33.8％ 1019.00hPa
2017-05-05 01:40:57 29.7℃ 33.8％ 1019.05hPa
2017-05-05 01:41:20 29.7℃ 33.8％ 1018.95hPa
2017-05-05 01:41:42 29.7℃ 33.8％ 1019.03hPa
2017-05-05 01:42:04 29.7℃ 33.8％ 1019.04hPa
2017-05-05 01:42:27 29.7℃ 33.7％ 1018.96hPa
2017-05-05 01:42:49 29.7℃ 33.7％ 1019.02hPa
2017-05-05 01:43:14 29.7℃ 33.8％ 1019.02hPa
2017-05-05 01:43:36 29.6℃ 33.8％ 1019.00hPa
2017-05-05 01:43:58 29.6℃ 33.8％ 1018.93hPa
2017-05-05 01:44:23 29.6℃ 33.7％ 1018.95hPa
2017-05-05 01:44:45 29.6℃ 33.7％ 1018.97hPa
2017-05-05 01:45:08 29.6℃ 33.7％ 1019.00hPa
2017-05-05 01:45:33 29.6℃ 33.6％ 1019.00hPa
2017-05-05 01:45:57 29.7℃ 33.6％ 1018.98hPa
2017-05-05 01:46:22 29.6℃ 33.6％ 1018.95hPa
2017-05-05 01:46:47 29.6℃ 33.7％ 1018.96hPa
2017-05-05 01:47:09 29.6℃ 33.7％ 1018.97hPa
2017-05-05 01:47:32 29.5℃ 33.7％ 1018.94hPa
2017-05-05 01:47:54 29.5℃ 33.7％ 1018.91hPa
2017-05-05 01:48:16 29.5℃ 33.7％ 1018.90hPa
2017-05-05 01:48:46 29.4℃ 33.9％ 1019.00hPa
2017-05-05 01:49:11 29.5℃ 34.1％ 1018.96hPa
2017-05-05 01:49:36 29.4℃ 34.2％ 1018.94hPa
2017-05-05 01:49:58 29.4℃ 34.3％ 1018.95hPa
2017-05-05 01:50:21 29.4℃ 34.4％ 1018.94hPa
2017-05-05 01:50:43 29.4℃ 34.5％ 1018.93hPa
2017-05-05 01:51:05 29.4℃ 34.6％ 1018.92hPa
2017-05-05 01:51:27 29.4℃ 34.6％ 1018.95hPa
2017-05-05 01:51:50 29.4℃ 34.6％ 1018.90hPa
2017-05-05 01:52:12 29.4℃ 34.6％ 1018.91hPa
2017-05-05 01:52:34 29.4℃ 34.7％ 1018.93hPa
2017-05-05 01:52:57 29.5℃ 34.7％ 1018.92hPa
2017-05-05 01:53:19 29.5℃ 34.8％ 1018.83hPa
2017-05-05 01:53:41 29.4℃ 34.8％ 1018.91hPa
2017-05-05 01:54:03 29.4℃ 34.9％ 1018.88hPa
2017-05-05 01:54:26 29.4℃ 34.9％ 1018.81hPa
2017-05-05 01:54:48 29.4℃ 34.9％ 1018.88hPa
2017-05-05 01:55:10 29.4℃ 34.9％ 1018.94hPa
2017-05-05 01:55:33 29.3℃ 35.0％ 1018.91hPa
2017-05-05 01:55:55 29.3℃ 35.0％ 1018.89hPa
2017-05-05 01:56:17 29.4℃ 35.0％ 1018.87hPa
2017-05-05 01:56:40 29.4℃ 35.0％ 1018.82hPa
2017-05-05 01:57:02 29.3℃ 35.1％ 1018.91hPa
2017-05-05 01:57:24 29.3℃ 35.1％ 1018.85hPa
2017-05-05 01:57:47 29.4℃ 35.2％ 1018.78hPa
2017-05-05 01:58:09 29.4℃ 35.2％ 1018.72hPa
2017-05-05 01:58:31 29.3℃ 35.2％ 1018.83hPa
2017-05-05 01:58:56 29.3℃ 35.1％ 1018.78hPa
2017-05-05 01:59:18 29.3℃ 35.2％ 1018.77hPa
2017-05-05 01:59:41 29.4℃ 35.2％ 1018.70hPa
2017-05-05 02:00:08 29.4℃ 35.3％ 1018.82hPa
2017-05-05 02:00:33 29.4℃ 35.3％ 1018.75hPa
2017-05-05 02:00:55 29.4℃ 35.3％ 1018.73hPa
2017-05-05 02:01:20 29.4℃ 35.4％ 1018.78hPa
2017-05-05 02:01:42 29.3℃ 35.4％ 1018.77hPa
2017-05-05 02:02:05 29.3℃ 35.4％ 1018.78hPa
2017-05-05 02:02:29 29.4℃ 35.6％ 1018.75hPa
2017-05-05 02:02:52 29.3℃ 35.7％ 1018.71hPa
2017-05-05 02:03:14 29.3℃ 35.8％ 1018.78hPa
2017-05-05 02:03:36 29.3℃ 35.9％ 1018.74hPa
2017-05-05 02:03:59 29.3℃ 36.0％ 1018.76hPa
2017-05-05 02:04:21 29.3℃ 36.0％ 1018.77hPa
2017-05-05 02:04:43 29.3℃ 36.0％ 1018.73hPa
2017-05-05 02:05:06 29.4℃ 36.0％ 1018.75hPa
2017-05-05 02:05:28 29.3℃ 36.0％ 1018.71hPa
2017-05-05 02:05:53 29.3℃ 36.2％ 1018.72hPa
2017-05-05 02:06:15 29.3℃ 36.2％ 1018.75hPa
2017-05-05 02:06:37 29.3℃ 36.3％ 1018.80hPa
2017-05-05 02:07:00 29.3℃ 36.3％ 1018.73hPa
2017-05-05 02:07:22 29.3℃ 36.2％ 1018.76hPa
2017-05-05 02:07:44 29.3℃ 36.2％ 1018.76hPa
2017-05-05 02:08:07 29.3℃ 36.2％ 1018.75hPa
2017-05-05 02:08:29 29.3℃ 36.2％ 1018.72hPa
2017-05-05 02:08:54 29.2℃ 36.2％ 1018.69hPa
2017-05-05 02:09:16 29.3℃ 36.2％ 1018.64hPa
2017-05-05 02:09:38 29.3℃ 36.3％ 1018.58hPa
2017-05-05 02:10:01 29.2℃ 36.3％ 1018.61hPa
2017-05-05 02:10:23 29.3℃ 36.3％ 1018.70hPa
2017-05-05 02:10:45 29.3℃ 36.3％ 1018.70hPa
2017-05-05 02:11:07 29.3℃ 36.2％ 1018.73hPa
2017-05-05 02:11:35 29.3℃ 36.2％ 1018.64hPa
2017-05-05 02:11:57 29.3℃ 36.2％ 1018.60hPa
2017-05-05 02:12:19 29.3℃ 36.3％ 1018.69hPa
2017-05-05 02:12:42 29.3℃ 36.3％ 1018.69hPa
2017-05-05 02:13:04 29.3℃ 36.2％ 1018.69hPa
2017-05-05 02:13:26 29.3℃ 36.2％ 1018.70hPa
2017-05-05 02:13:51 29.3℃ 36.3％ 1018.74hPa
2017-05-05 02:14:14 29.3℃ 36.3％ 1018.70hPa
2017-05-05 02:14:36 29.3℃ 36.3％ 1018.70hPa
2017-05-05 02:14:58 29.2℃ 36.4％ 1018.65hPa
2017-05-05 02:15:20 29.2℃ 36.4％ 1018.70hPa
2017-05-05 02:15:45 29.2℃ 36.5％ 1018.70hPa
2017-05-05 02:16:15 29.3℃ 36.4％ 1018.71hPa
2017-05-05 02:16:40 29.2℃ 36.4％ 1018.70hPa
2017-05-05 02:17:02 29.3℃ 36.4％ 1018.64hPa
2017-05-05 02:17:24 29.3℃ 36.4％ 1018.65hPa
2017-05-05 02:17:49 29.2℃ 36.5％ 1018.70hPa
2017-05-05 02:18:12 29.3℃ 36.5％ 1018.70hPa
2017-05-05 02:18:34 29.2℃ 36.5％ 1018.71hPa
2017-05-05 02:18:56 29.2℃ 36.6％ 1018.69hPa
2017-05-05 02:19:18 29.3℃ 36.6％ 1018.70hPa
2017-05-05 02:19:41 29.3℃ 36.7％ 1018.70hPa
2017-05-05 02:20:03 29.2℃ 36.7％ 1018.73hPa
2017-05-05 02:20:25 29.2℃ 36.7％ 1018.63hPa
2017-05-05 02:20:48 29.2℃ 36.6％ 1018.71hPa
2017-05-05 02:21:10 29.3℃ 36.6％ 1018.81hPa
2017-05-05 02:21:32 29.1℃ 36.6％ 1018.72hPa
2017-05-05 02:22:00 29.2℃ 36.8％ 1018.76hPa
2017-05-05 02:22:22 29.2℃ 36.8％ 1018.78hPa
2017-05-05 02:22:44 29.3℃ 36.8％ 1018.74hPa
2017-05-05 02:23:07 29.2℃ 36.8％ 1018.78hPa
2017-05-05 02:23:29 29.1℃ 36.8％ 1018.71hPa
2017-05-05 02:23:51 29.2℃ 36.8％ 1018.78hPa
2017-05-05 02:24:14 29.2℃ 36.7％ 1018.81hPa
2017-05-05 02:24:36 29.2℃ 36.7％ 1018.82hPa
2017-05-05 02:25:01 29.1℃ 36.9％ 1018.84hPa
2017-05-05 02:25:23 29.0℃ 37.1％ 1018.77hPa
2017-05-05 02:25:45 29.0℃ 37.1％ 1018.79hPa
2017-05-05 02:26:07 29.0℃ 37.2％ 1018.73hPa
2017-05-05 02:26:30 29.0℃ 37.1％ 1018.71hPa
2017-05-05 02:26:52 29.1℃ 37.1％ 1018.74hPa
2017-05-05 02:27:14 29.1℃ 37.0％ 1018.74hPa
2017-05-05 02:27:37 29.1℃ 37.1％ 1018.76hPa
2017-05-05 02:27:59 29.1℃ 37.1％ 1018.77hPa
2017-05-05 02:28:24 29.1℃ 37.0％ 1018.75hPa
2017-05-05 02:28:46 29.1℃ 36.9％ 1018.75hPa
2017-05-05 02:29:08 29.0℃ 36.9％ 1018.73hPa
2017-05-05 02:29:31 29.1℃ 36.9％ 1018.72hPa
2017-05-05 02:29:53 29.1℃ 36.8％ 1018.73hPa
2017-05-05 02:30:18 29.1℃ 36.8％ 1018.73hPa
2017-05-05 02:30:40 29.2℃ 36.9％ 1018.74hPa
2017-05-05 02:31:02 29.1℃ 36.8％ 1018.74hPa
2017-05-05 02:31:30 29.0℃ 36.7％ 1018.80hPa
2017-05-05 02:31:52 29.1℃ 36.7％ 1018.76hPa
2017-05-05 02:32:14 29.0℃ 36.7％ 1018.77hPa
